"region","context","sex","year","diagnoses","retested","prop_retested","prop_lower","prop_upper"
"regional","gp","all","2018",300,158,0.526666666666667,0.468532871837273,0.584106405036046
"regional","gp","female","2018",125,53,0.424,0.337128447387476,0.515609529402852
"regional","gp","male","2018",175,105,0.6,0.523142575239477,0.672394280464304
"regional","shc","all","2018",929,363,0.390742734122713,0.359350650902622,0.423050067008989
"regional","shc","female","2018",281,84,0.298932384341637,0.246746038086104,0.356720886533034
"regional","shc","male","2018",648,279,0.430555555555556,0.392192144870057,0.469753988045712
"remote","gp","all","2018",1,1,1,0.054620755528852,1
"remote","gp","female","2018",0,0,NA,NA,NA
"remote","gp","male","2018",0,0,NA,NA,NA
"remote","shc","all","2018",17,6,0.352941176470588,0.152592359012394,0.61379594273215
"remote","shc","female","2018",6,3,0.5,0.187616306482651,0.812383693517349
"remote","shc","male","2018",11,3,0.272727272727273,0.0732766596779932,0.606833902178911
"urban","gp","all","2018",3666,2727,0.743862520458265,0.729343877866242,0.75786570534571
"urban","gp","female","2018",236,91,0.385593220338983,0.323776559721795,0.451198684345484
"urban","gp","male","2018",3430,2636,0.768513119533528,0.753953432229456,0.78246583290585
"urban","shc","all","2018",7812,4142,0.53020993343574,0.519066408162632,0.541323590859838
"urban","shc","female","2018",1912,738,0.385983263598326,0.364153133282383,0.408276098116289
"urban","shc","male","2018",5900,3404,0.576949152542373,0.564211773993653,0.589585720968856
"regional+remote","gp","all","2018",301,159,0.528239202657807,0.470193306777671,0.585552555222049
"regional+remote","gp","female","2018",0,0,NA,NA,NA
"regional+remote","gp","male","2018",0,0,NA,NA,NA
"regional+remote","shc","all","2018",946,369,0.390063424947146,0.358966681725224,0.422064493584639
"regional+remote","shc","female","2018",287,87,0.303135888501742,0.251216208701292,0.360425014421719
"regional+remote","shc","male","2018",659,282,0.427921092564492,0.389924277564793,0.466770096109441
"regional","gp","all","2019",283,158,0.558303886925795,0.498283562941798,0.616715203903477
"regional","gp","female","2019",119,56,0.470588235294118,0.379212467704106,0.563888338859465
"regional","gp","male","2019",164,102,0.621951219512195,0.542657707930526,0.695435901069715
"regional","shc","all","2019",988,408,0.412955465587045,0.382150401907764,0.444445878289292
"regional","shc","female","2019",318,112,0.352201257861635,0.300250160921178,0.407785546045843
"regional","shc","male","2019",670,296,0.441791044776119,0.403890776001473,0.480368126246099
"remote","gp","all","2019",1,1,1,0.054620755528852,1
"remote","gp","female","2019",0,0,NA,NA,NA
"remote","gp","male","2019",0,0,NA,NA,NA
"remote","shc","all","2019",20,9,0.45,0.238285511342067,0.679519555481909
"remote","shc","female","2019",12,6,0.5,0.253781597633706,0.746218402366294
"remote","shc","male","2019",8,3,0.375,0.102407997216086,0.741052314372142
"urban","gp","all","2019",3740,2741,0.732887700534759,0.718338143504197,0.74695483459406
"urban","gp","female","2019",241,101,0.419087136929461,0.356540412378465,0.48425671559519
"urban","gp","male","2019",3499,2640,0.754501286081738,0.73982136878991,0.768617406404393
"urban","shc","all","2019",6234,3153,0.505774783445621,0.493283899935394,0.518258508418957
"urban","shc","female","2019",1471,538,0.365737593473827,0.341169897332548,0.391014350564635
"urban","shc","male","2019",4763,2615,0.549023724543355,0.53475343555264,0.563214413223424
"regional+remote","gp","all","2019",284,159,0.559859154929577,0.499947359182259,0.618124828545499
"regional+remote","gp","female","2019",0,0,NA,NA,NA
"regional+remote","gp","male","2019",0,0,NA,NA,NA
"regional+remote","shc","all","2019",1008,417,0.413690476190476,0.383182168526292,0.444864803696981
"regional+remote","shc","female","2019",330,118,0.357575757575758,0.306325772447514,0.412198882583126
"regional+remote","shc","male","2019",678,299,0.441002949852507,0.40333948688746,0.479344265453618
"regional","gp","all","2020",176,44,0.25,0.1892850263715,0.321862645235523
"regional","gp","female","2020",68,17,0.25,0.156329275022661,0.372248711900752
"regional","gp","male","2020",108,27,0.25,0.173889198118642,0.344235836419807
"regional","shc","all","2020",731,190,0.259917920656635,0.228783732144542,0.293616033454265
"regional","shc","female","2020",225,41,0.182222222222222,0.135306238670808,0.240270445501764
"regional","shc","male","2020",506,149,0.294466403162055,0.255477851835807,0.336628900531467
"remote","gp","all","2020",1,1,1,0.054620755528852,1
"remote","gp","female","2020",0,0,NA,NA,NA
"remote","gp","male","2020",0,0,NA,NA,NA
"remote","shc","all","2020",9,3,0.333333333333333,0.0904182565192847,0.690823897695764
"remote","shc","female","2020",4,1,0.25,0.0131911618237266,0.780573479934637
"remote","shc","male","2020",5,2,0.4,0.0725840399856634,0.829576419356412
"urban","gp","all","2020",2655,1299,0.489265536723164,0.470092347742032,0.508470050711033
"urban","gp","female","2020",197,58,0.294416243654822,0.232858254183843,0.364148564129244
"urban","gp","male","2020",2458,1241,0.504882017900732,0.484921210371326,0.524827432945081
"urban","shc","all","2020",5418,1780,0.328534514581026,0.316062157958971,0.341251635298691
"urban","shc","female","2020",1136,214,0.188380281690141,0.166288162860828,0.212613369048687
"urban","shc","male","2020",4282,1566,0.365716954694068,0.351301824425216,0.380374751992524
"regional+remote","gp","all","2020",177,45,0.254237288135593,0.193244212526895,0.326124774670748
"regional+remote","gp","female","2020",0,0,NA,NA,NA
"regional+remote","gp","male","2020",0,0,NA,NA,NA
"regional+remote","shc","all","2020",740,193,0.260810810810811,0.229822484998476,0.294322239965779
"regional+remote","shc","female","2020",229,42,0.183406113537118,0.136725787463311,0.240981706226311
"regional+remote","shc","male","2020",511,151,0.295499021526419,0.256649720573825,0.33747520948506
