year,stage,region,context,sex,proportion,prop_lower,prop_upper,source,reference
2019,notifications,urban,all,all,0.743390418,0.743390418,0.743390418,notifications data,
2019,notifications,regional,all,all,0.215152973,0.215152973,0.215152973,notifications data,
2019,notifications,remote,all,all,0.04145661,0.04145661,0.04145661,notifications data,
2019,diagnoses,all,shc,all,0.11,0.11,0.11,"(Grulich et al. 2014, table 4, usual GP %)","Grulich AE, de Visser RO, Badcock PB, Smith AM, Richters J, Rissel C, et al. Knowledge about and experience of sexually transmissible infections in a representative sample of adults: the Second Australian Study of Health and Relationships. Sexual health 2014; 11:481–494.
"
2019,diagnoses,all,gp,all,0.797,0.797,0.797,"(Grulich et al. 2014, table 4, sexual health clini %)","Grulich AE, de Visser RO, Badcock PB, Smith AM, Richters J, Rissel C, et al. Knowledge about and experience of sexually transmissible infections in a representative sample of adults: the Second Australian Study of Health and Relationships. Sexual health 2014; 11:481–494.
"
2019,diagnoses,all,other,all,0.092,0.092,0.092,"(Grulich et al. 2014, table 4, Other + pharmacy %)","Grulich AE, de Visser RO, Badcock PB, Smith AM, Richters J, Rissel C, et al. Knowledge about and experience of sexually transmissible infections in a representative sample of adults: the Second Australian Study of Health and Relationships. Sexual health 2014; 11:481–494.
"
2019,treated,urban,gp,all,0.8879,0.8879,0.8879,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2019,treated,regional,gp,all,0.8879,0.8879,0.8879,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2019,treated,urban,other,all,0.99,0.99,0.99,(Foster et al. 2016),Foster et al. Does being in a regional area impact on the timeliness of treatment?  STD 2016:43;506
2019,treated,regional,other,all,1,1,1,(Foster et al. 2016),Foster et al. Does being in a regional area impact on the timeliness of treatment?  STD 2016:43;506
2019,treated,remote,shc,all,0.96,0.96,0.96,(Foster et al. 2016),Foster et al. Does being in a regional area impact on the timeliness of treatment?  STD 2016:43;506
2019,treated,remote,phc,all,0.85,0.85,0.85,(Guy et al. 2012),"Guy R, et al. The impact of sexually transmissible infection programs in remote Aboriginal communities in Australia: a systematic review. Sexual Health. 2012;9 (3):205-12."
2019,retested,urban,shc,males,0.537005887,0.525348221,0.548623481,ACCESS shc urban,
2019,retested,regional,shc,males,0.4609375,0.427981951,0.494232258,ACCESS shc regional+remote,
2019,retested,remote,shc,males,0.4609375,0.427981951,0.494232258,ACCESS shc regional+remote,
2019,retested,urban,gp,males,0.165,0.1274,0.2026,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2019,retested,regional,gp,males,0.165,0.1274,0.2026,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2019,retested,remote,gp,males,0.165,0.1274,0.2026,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2019,retested,urban,shc,females,0.359170798,0.339246351,0.379587488,ACCESS shc urban,
2019,retested,regional,shc,females,0.401691332,0.357444842,0.447559521,ACCESS shc regional+remote,
2019,retested,remote,shc,females,0.401691332,0.357444842,0.447559521,ACCESS shc regional+remote,
2019,retested,urban,gp,females,0.259,0.2263,0.2917,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2019,retested,regional,gp,females,0.259,0.2263,0.2917,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2019,retested,remote,gp,females,0.259,0.2263,0.2917,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2019,retested,urban,shc,all,0.495962601,0.485812248,0.506116266,ACCESS shc urban,
2019,retested,regional,shc,all,0.441690962,0.415252311,0.46845973,ACCESS shc regional+remote,
2019,retested,remote,shc,all,0.441690962,0.415252311,0.46845973,ACCESS shc regional+remote,
2019,retested,urban,gp,all,0.226,0.2009,0.2511,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2019,retested,regional,gp,all,0.226,0.2009,0.2511,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2019,retested,remote,gp,all,0.226,0.2009,0.2511,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2020,notifications,urban,all,all,0.737960482,0.737960482,0.737960482,notifications data,
2020,notifications,regional,all,all,0.219641289,0.219641289,0.219641289,notifications data,
2020,notifications,remote,all,all,0.04239823,0.04239823,0.04239823,notifications data,
2020,diagnoses,all,shc,all,0.11,0.11,0.11,"(Grulich et al. 2014, table 4, usual GP %)","Grulich AE, de Visser RO, Badcock PB, Smith AM, Richters J, Rissel C, et al. Knowledge about and experience of sexually transmissible infections in a representative sample of adults: the Second Australian Study of Health and Relationships. Sexual health 2014; 11:481–494.
"
2020,diagnoses,all,gp,all,0.797,0.797,0.797,"(Grulich et al. 2014, table 4, sexual health clini %)","Grulich AE, de Visser RO, Badcock PB, Smith AM, Richters J, Rissel C, et al. Knowledge about and experience of sexually transmissible infections in a representative sample of adults: the Second Australian Study of Health and Relationships. Sexual health 2014; 11:481–494.
"
2020,diagnoses,all,other,all,0.092,0.092,0.092,"(Grulich et al. 2014, table 4, Other + pharmacy %)","Grulich AE, de Visser RO, Badcock PB, Smith AM, Richters J, Rissel C, et al. Knowledge about and experience of sexually transmissible infections in a representative sample of adults: the Second Australian Study of Health and Relationships. Sexual health 2014; 11:481–494.
"
2020,treated,urban,gp,all,0.8879,0.8879,0.8879,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2020,treated,regional,gp,all,0.8879,0.8879,0.8879,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2020,treated,urban,other,all,0.99,0.99,0.99,(Foster et al. 2016),Foster et al. Does being in a regional area impact on the timeliness of treatment?  STD 2016:43;506
2020,treated,regional,other,all,1,1,1,(Foster et al. 2016),Foster et al. Does being in a regional area impact on the timeliness of treatment?  STD 2016:43;506
2020,treated,remote,shc,all,0.96,0.96,0.96,(Foster et al. 2016),Foster et al. Does being in a regional area impact on the timeliness of treatment?  STD 2016:43;506
2020,treated,remote,phc,all,0.85,0.85,0.85,(Guy et al. 2012),"Guy R, et al. The impact of sexually transmissible infection programs in remote Aboriginal communities in Australia: a systematic review. Sexual Health. 2012;9 (3):205-12."
2020,retested,urban,shc,males,0.487376509,0.474047794,0.500723078,ACCESS shc urban,
2020,retested,regional,shc,males,0.456086287,0.417377051,0.495322678,ACCESS shc regional+remote,
2020,retested,remote,shc,males,0.456086287,0.417377051,0.495322678,ACCESS shc regional+remote,
2020,retested,urban,gp,males,0.165,0.1274,0.2026,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2020,retested,regional,gp,males,0.165,0.1274,0.2026,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2020,retested,remote,gp,males,0.165,0.1274,0.2026,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2020,retested,urban,shc,females,0.302422145,0.278952224,0.326955067,ACCESS shc urban,
2020,retested,regional,shc,females,0.389261745,0.334033677,0.447393345,ACCESS shc regional+remote,
2020,retested,remote,shc,females,0.389261745,0.334033677,0.447393345,ACCESS shc regional+remote,
2020,retested,urban,gp,females,0.259,0.2263,0.2917,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2020,retested,regional,gp,females,0.259,0.2263,0.2917,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2020,retested,remote,gp,females,0.259,0.2263,0.2917,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2020,retested,urban,shc,all,0.448275862,0.436552346,0.460056794,ACCESS shc urban,
2020,retested,regional,shc,all,0.436382755,0.404661932,0.468623981,ACCESS shc regional+remote,
2020,retested,remote,shc,all,0.436382755,0.404661932,0.468623981,ACCESS shc regional+remote,
2020,retested,urban,gp,all,0.226,0.2009,0.2511,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2020,retested,regional,gp,all,0.226,0.2009,0.2511,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2020,retested,remote,gp,all,0.226,0.2009,0.2511,(Jung 2023),"Jung, et al. The Chlamydia Care Cascade of Young People Attending Australian General Practices; a Descriptive Study to Assess Gaps in Care. Sexual Health, October 2, 2023. https://doi.org/10.1071/SH23096."
2021,notifications,urban,all,all,0.727087553,0.727087553,0.727087553,notifications data,
2021,notifications,regional,all,all,0.228088652,0.228088652,0.228088652,notifications data,
2021,notifications,remote,all,all,0.044823795,0.044823795,0.044823795,notifications data,
2021,diagnoses,all,shc,all,0.11,0.11,0.11,"(Grulich et al. 2014, table 4, usual GP %)",
2021,diagnoses,all,gp,all,0.797,0.797,0.797,"(Grulich et al. 2014, table 4, sexual health clini %)",
