year,stage,region,context,sex,proportion,prop_lower,prop_upper,source,reference
2018,notifications,urban,all,all,0.744113966,0.744113966,0.744113966,notifications data,
2018,notifications,regional,all,all,0.21574954,0.21574954,0.21574954,notifications data,
2018,notifications,remote,all,all,0.040136493,0.040136493,0.040136493,notifications data,
2018,diagnoses,all,shc,all,0.11,0.11,0.11,"(Grulich et al. 2014, table 4, usual GP %)","Grulich AE, de Visser RO, Badcock PB, Smith AM, Richters J, Rissel C, et al. Knowledge about and experience of sexually transmissible infections in a representative sample of adults: the Second Australian Study of Health and Relationships. Sexual health 2014; 11:481–494.
"
2018,diagnoses,all,gp,all,0.797,0.797,0.797,"(Grulich et al. 2014, table 4, sexual health clini %)","Grulich AE, de Visser RO, Badcock PB, Smith AM, Richters J, Rissel C, et al. Knowledge about and experience of sexually transmissible infections in a representative sample of adults: the Second Australian Study of Health and Relationships. Sexual health 2014; 11:481–494.
"
2018,diagnoses,all,other,all,0.092,0.092,0.092,"(Grulich et al. 2014, table 4, Other + pharmacy %)","Grulich AE, de Visser RO, Badcock PB, Smith AM, Richters J, Rissel C, et al. Knowledge about and experience of sexually transmissible infections in a representative sample of adults: the Second Australian Study of Health and Relationships. Sexual health 2014; 11:481–494.
"
2018,treated,urban,gp,all,0.92,0.92,0.92,(Bangor-Jones 2011),Bangor-Jones R. Sexual health in general practice: do practitioners comply with the sexually transmitted infections guidelines for management of suspected chlamydial infections? International journal of STD & AIDS 2011; 22:523–524.
2018,treated,regional,gp,all,0.92,0.92,0.92,(Bangor-Jones 2011),Bangor-Jones R. Sexual health in general practice: do practitioners comply with the sexually transmitted infections guidelines for management of suspected chlamydial infections? International journal of STD & AIDS 2011; 22:523–524.
2018,treated,urban,other,all,0.99,0.99,0.99,(Foster et al. 2016),Foster et al. Does being in a regional area impact on the timeliness of treatment?  STD 2016:43;506
2018,treated,regional,other,all,1,1,1,(Foster et al. 2016),Foster et al. Does being in a regional area impact on the timeliness of treatment?  STD 2016:43;506
2018,treated,remote,shc,all,0.96,0.96,0.96,(Foster et al. 2016),Foster et al. Does being in a regional area impact on the timeliness of treatment?  STD 2016:43;506
2018,treated,remote,phc,all,0.85,0.85,0.85,(Guy et al. 2012),"Guy R, et al. The impact of sexually transmissible infection programs in remote Aboriginal communities in Australia: a systematic review. Sexual Health. 2012;9 (3):205-12."
2018,retested,urban,shc,males,0.571231829,0.559117764,0.583261665,ACCESS shc urban,
2018,retested,regional,shc,males,0.471389646,0.434845077,0.50823773,ACCESS shc regional+remote,
2018,retested,remote,shc,males,0.471389646,0.434845077,0.50823773,ACCESS shc regional+remote,
2018,retested,urban,gp,males,0.1,0.056473475,0.168134349,ACCEPt 2014 (assumption) as ACCESS is biased,
2018,retested,regional,gp,males,0.1,0.056473475,0.168134349,ACCEPT,2014 data
2018,retested,remote,gp,males,0.1,0.056473475,0.168134349,ACCEPT,assumed same as regional
2018,retested,urban,shc,females,0.392374517,0.37132932,0.413822616,ACCESS shc urban,
2018,retested,regional,shc,females,0.352040816,0.305180567,0.401849878,ACCESS shc regional+remote,
2018,retested,remote,shc,females,0.352040816,0.305180567,0.401849878,ACCESS shc regional+remote,
2018,retested,urban,gp,females,0.193548387,0.147410171,0.24941418,ACCEPt 2014 (assumption) as ACCESS is biased,
2018,retested,regional,gp,females,0.193548387,0.147410171,0.24941418,ACCEPT,2014 data
2018,retested,remote,gp,females,0.193548387,0.147410171,0.24941418,ACCEPT,assumed same as regional
2018,retested,urban,shc,all,0.528903731,0.518337044,0.539444717,ACCESS shc urban,
2018,retested,regional,shc,all,0.430851064,0.401797576,0.460381121,ACCESS shc regional+remote,
2018,retested,remote,shc,all,0.430851064,0.401797576,0.460381121,ACCESS shc regional+remote,
2018,retested,urban,gp,all,0.161375661,0.126538234,0.203267217,ACCEPt 2014 (assumption) as ACCESS is biased,
2018,retested,regional,gp,all,0.161375661,0.126538234,0.203267217,ACCEPT,2014 data
2018,retested,remote,gp,all,0.161375661,0.126538234,0.203267217,ACCEPT,assumed same as regional
2019,notifications,urban,all,all,0.74735321,0.74735321,0.74735321,notifications data,
2019,notifications,regional,all,all,0.214122634,0.214122634,0.214122634,notifications data,
2019,notifications,remote,all,all,0.038524156,0.038524156,0.038524156,notifications data,
2019,diagnoses,all,shc,all,0.11,0.11,0.11,"(Grulich et al. 2014, table 4, usual GP %)","Grulich AE, de Visser RO, Badcock PB, Smith AM, Richters J, Rissel C, et al. Knowledge about and experience of sexually transmissible infections in a representative sample of adults: the Second Australian Study of Health and Relationships. Sexual health 2014; 11:481–494.
"
2019,diagnoses,all,gp,all,0.797,0.797,0.797,"(Grulich et al. 2014, table 4, sexual health clini %)","Grulich AE, de Visser RO, Badcock PB, Smith AM, Richters J, Rissel C, et al. Knowledge about and experience of sexually transmissible infections in a representative sample of adults: the Second Australian Study of Health and Relationships. Sexual health 2014; 11:481–494.
"
2019,diagnoses,all,other,all,0.092,0.092,0.092,"(Grulich et al. 2014, table 4, Other + pharmacy %)","Grulich AE, de Visser RO, Badcock PB, Smith AM, Richters J, Rissel C, et al. Knowledge about and experience of sexually transmissible infections in a representative sample of adults: the Second Australian Study of Health and Relationships. Sexual health 2014; 11:481–494.
"
2019,treated,urban,gp,all,0.92,0.92,0.92,(Bangor-Jones 2011),Bangor-Jones R. Sexual health in general practice: do practitioners comply with the sexually transmitted infections guidelines for management of suspected chlamydial infections? International journal of STD & AIDS 2011; 22:523–524.
