"region","context","sex","year","diagnoses","retested","prop_retested","prop_lower","prop_upper"
"regional","gp","all","2015",NA,NA,NA,NA,NA
"regional","gp","female","2015",NA,NA,NA,NA,NA
"regional","gp","male","2015",NA,NA,NA,NA,NA
"regional","shc","all","2015",1191,229,0.192275398824517,0.170497603690917,0.21606890472099
"regional","shc","female","2015",515,96,0.186407766990291,0.154242971617881,0.223349409505714
"regional","shc","male","2015",676,133,0.196745562130178,0.167833799565214,0.229168624123667
"remote","gp","all","2015",NA,NA,NA,NA,NA
"remote","gp","female","2015",NA,NA,NA,NA,NA
"remote","gp","male","2015",NA,NA,NA,NA,NA
"remote","shc","all","2015",14,2,0.142857142857143,0.0251393544563727,0.438493428161567
"remote","shc","female","2015",6,0,0,0,0.483182948786343
"remote","shc","male","2015",8,2,0.25,0.0445439137995155,0.644244839615369
"urban","gp","all","2015",NA,NA,NA,NA,NA
"urban","gp","female","2015",NA,NA,NA,NA,NA
"urban","gp","male","2015",NA,NA,NA,NA,NA
"urban","shc","all","2015",3531,1021,0.289153214386859,0.274295652856047,0.304473384488908
"urban","shc","female","2015",899,181,0.201334816462736,0.175891075164503,0.229373859417821
"urban","shc","male","2015",2626,840,0.31987814166032,0.302125371595389,0.338162738096491
"regional+remote","gp","all","2015",NA,NA,NA,NA,NA
"regional+remote","gp","female","2015",NA,NA,NA,NA,NA
"regional+remote","gp","male","2015",NA,NA,NA,NA,NA
"regional+remote","shc","all","2015",1205,231,0.191701244813278,0.170073752856844,0.21532464914899
"regional+remote","shc","female","2015",521,96,0.18426103646833,0.152436778469379,0.220839686701751
"regional+remote","shc","male","2015",684,135,0.197368421052632,0.168580880987427,0.229618713640005
